Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
X3,2016,South America,Red,Hybrid,Automatic,3.3,135445,100911,5228,Low
M5,2014,Asia,Black,Hybrid,Manual,5.0,79730,92883,5404,Low
M3,2019,Africa,White,Diesel,Manual,3.8,186730,112845,4684,Low
X5,2022,Asia,Black,Hybrid,Manual,1.8,143319,89227,4496,Low
i3,2015,Europe,Blue,Petrol,Automatic,4.2,197154,87418,8579,High
5 Series,2019,Europe,Blue,Petrol,Automatic,4.8,73477,118858,7624,High
7 Series,2014,Europe,Black,Petrol,Manual,3.8,16671,115769,7725,High
3 Series,2013,Europe,White,Petrol,Manual,1.6,13308,57403,2087,Low
3 Series,2017,Europe,Grey,Electric,Automatic,5.0,45976,47495,2879,Low
i8,2021,South America,Grey,Diesel,Automatic,4.3,99203,88770,6728,Low
i3,2024,South America,White,Electric,Automatic,4.5,136089,61959,9189,High
X3,2015,Africa,Silver,Hybrid,Automatic,1.9,150049,56864,8189,High
5 Series,2010,Middle East,White,Petrol,Automatic,3.0,76277,115233,5421,Low
M3,2012,North America,Silver,Hybrid,Automatic,2.0,126672,67914,3023,Low
M3,2020,North America,White,Electric,Automatic,2.7,17611,72469,5391,Low
X6,2011,Asia,White,Electric,Automatic,2.0,42970,72076,1232,Low
X1,2013,Europe,Blue,Petrol,Automatic,2.9,187819,31907,7519,High
X1,2021,Asia,Blue,Electric,Automatic,2.2,168119,91128,9747,High
i8,2013,North America,Silver,Diesel,Automatic,2.8,66954,94313,916,Low
5 Series,2024,North America,White,Electric,Automatic,3.9,37558,91295,625,Low
X1,2013,South America,Red,Petrol,Manual,4.8,99054,47566,7565,High
i3,2015,Middle East,Black,Diesel,Automatic,2.4,89541,71730,2215,Low
M3,2022,Europe,Blue,Electric,Manual,2.7,100476,49065,2659,Low
i8,2021,Europe,Blue,Hybrid,Manual,2.7,186292,92957,3015,Low
M3,2024,Asia,Silver,Hybrid,Automatic,1.7,198846,85034,7888,High
X1,2011,South America,Blue,Electric,Manual,3.7,182910,53074,5393,Low
X3,2021,South America,Red,Diesel,Manual,3.7,85938,60632,8600,High
i8,2015,North America,Red,Petrol,Automatic,3.3,142041,30868,1196,Low
7 Series,2017,South America,White,Diesel,Automatic,4.2,165177,34121,8442,High
5 Series,2023,Africa,Red,Hybrid,Automatic,2.0,49074,104146,6669,Low
7 Series,2015,North America,Grey,Diesel,Automatic,2.4,191020,67856,9281,High
X6,2016,North America,White,Hybrid,Manual,4.4,82729,42797,5007,Low
X5,2023,Europe,Red,Electric,Automatic,2.8,137044,79169,501,Low
X1,2020,North America,White,Diesel,Manual,1.9,73311,111604,4180,Low
i8,2010,North America,Grey,Petrol,Automatic,3.1,12550,92950,4596,Low
i8,2016,North America,Blue,Hybrid,Manual,2.5,145112,82447,1206,Low
5 Series,2023,Europe,White,Diesel,Automatic,2.3,176789,71265,5046,Low
i3,2013,Europe,Grey,Electric,Automatic,1.7,129650,57437,4699,Low
i8,2011,North America,Silver,Hybrid,Manual,3.9,47309,116929,1198,Low
X3,2010,Middle East,Black,Diesel,Manual,3.3,155115,90327,6776,Low
i8,2012,South America,Blue,Diesel,Manual,1.6,45787,30226,7257,High
X6,2011,South America,Blue,Petrol,Automatic,3.0,25499,67764,1912,Low
3 Series,2013,Europe,Grey,Electric,Manual,4.3,128661,101762,1406,Low
i3,2021,Africa,Silver,Hybrid,Automatic,4.3,195568,99458,4550,Low
M5,2014,South America,Blue,Petrol,Automatic,3.3,120680,30410,2838,Low
M3,2021,South America,Silver,Electric,Automatic,2.9,182275,45309,5329,Low
X3,2022,Middle East,Grey,Diesel,Automatic,2.4,85150,51710,8120,High
3 Series,2022,Asia,Black,Electric,Manual,4.8,22368,91918,171,Low
X6,2018,South America,Blue,Diesel,Automatic,2.2,179896,32109,8002,High
7 Series,2015,Africa,Grey,Electric,Manual,3.7,81741,74050,8109,High
M3,2019,Middle East,Silver,Electric,Automatic,4.3,38253,35408,4391,Low
M3,2021,South America,Blue,Hybrid,Automatic,3.5,148162,54713,7103,High
3 Series,2013,Europe,Blue,Petrol,Automatic,4.3,92204,100018,5283,Low
M3,2014,Asia,Silver,Hybrid,Automatic,4.5,159868,80296,8353,High
3 Series,2010,Asia,Blue,Hybrid,Automatic,3.5,68478,92679,3705,Low
X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,49010,3433,Low
X6,2018,Africa,Grey,Hybrid,Automatic,5.0,138671,45595,479,Low
7 Series,2017,South America,Red,Petrol,Automatic,2.9,68596,87865,9557,High
5 Series,2021,Middle East,White,Diesel,Automatic,3.4,86113,119556,177,Low
M3,2010,South America,White,Petrol,Automatic,3.5,55524,42887,3274,Low
M5,2012,Africa,White,Electric,Manual,3.7,168552,77284,5406,Low
7 Series,2020,Africa,White,Hybrid,Automatic,4.2,122391,54411,1051,Low
M3,2021,Africa,Grey,Petrol,Manual,4.0,105633,78905,3878,Low
5 Series,2019,Africa,White,Hybrid,Manual,3.2,147568,103612,4814,Low
X5,2020,Asia,Silver,Diesel,Automatic,3.1,183101,115820,5128,Low
3 Series,2017,Africa,Red,Hybrid,Manual,3.5,168601,67219,3113,Low
M3,2012,North America,Silver,Hybrid,Manual,1.5,16005,93810,3953,Low
3 Series,2019,South America,Silver,Hybrid,Manual,2.8,193021,44950,1703,Low
M5,2012,Africa,Black,Diesel,Manual,4.5,1251,71744,9764,High
5 Series,2013,North America,Silver,Electric,Manual,2.8,13254,46135,9029,High
5 Series,2023,Asia,Grey,Electric,Automatic,2.6,50105,37719,6239,Low
X6,2014,Europe,Silver,Electric,Automatic,2.7,66902,44261,8399,High
3 Series,2022,Middle East,Silver,Electric,Automatic,3.2,88185,33024,5423,Low
i8,2015,Europe,Blue,Electric,Automatic,2.2,152111,77508,4941,Low
7 Series,2015,North America,Black,Electric,Manual,3.5,58897,48550,8612,High
i3,2014,Middle East,Blue,Diesel,Manual,4.9,192863,95833,7192,High
7 Series,2016,Asia,Blue,Hybrid,Automatic,2.3,44162,111943,3738,Low
X1,2018,Africa,Blue,Hybrid,Automatic,4.4,195583,118060,4269,Low
X1,2024,North America,Blue,Petrol,Automatic,2.8,146373,34351,8173,High
X6,2020,Middle East,Silver,Hybrid,Manual,3.9,142096,45281,6027,Low
i8,2022,North America,Silver,Electric,Manual,3.2,69895,50909,6658,Low
M5,2012,Europe,Red,Hybrid,Automatic,4.6,196942,36780,7446,High
M3,2013,Middle East,Blue,Electric,Automatic,4.3,21551,68556,6284,Low
i3,2014,Africa,Black,Electric,Manual,3.4,6574,93695,7843,High
7 Series,2016,Africa,White,Hybrid,Manual,2.8,162174,96688,1702,Low
7 Series,2013,South America,Blue,Petrol,Manual,1.8,102577,35662,878,Low
7 Series,2013,Middle East,Grey,Petrol,Manual,2.4,26266,82220,3524,Low
7 Series,2018,South America,Black,Hybrid,Manual,4.4,93263,109912,5583,Low
X6,2010,Middle East,Silver,Petrol,Manual,4.7,105827,87920,8869,High
X6,2024,Middle East,Red,Electric,Manual,3.6,101077,113047,4623,Low
5 Series,2021,Europe,Grey,Petrol,Manual,3.9,131823,60223,2816,Low
3 Series,2012,Europe,Grey,Electric,Automatic,4.2,64628,103334,1307,Low
i8,2016,South America,Silver,Electric,Manual,1.7,71040,104184,792,Low
5 Series,2021,Asia,Black,Diesel,Automatic,3.5,133836,38861,9087,High
X6,2021,South America,Grey,Diesel,Automatic,2.3,41762,62708,9417,High
7 Series,2012,North America,Grey,Petrol,Manual,2.3,171676,83665,4721,Low
X3,2012,Europe,Grey,Electric,Automatic,2.7,47685,105275,3523,Low
X5,2022,Asia,White,Hybrid,Automatic,4.2,50397,93512,1465,Low
X3,2023,Middle East,Red,Petrol,Manual,1.6,175194,70174,7959,High
M5,2024,Africa,Blue,Diesel,Automatic,3.8,63898,64002,7449,High
5 Series,2020,Africa,Blue,Petrol,Manual,4.0,13743,44272,4604,Low
X1,2022,South America,Black,Petrol,Automatic,3.4,146580,119606,449,Low
M5,2020,Africa,White,Diesel,Manual,2.5,121340,76392,5925,Low
5 Series,2014,Africa,Black,Electric,Automatic,2.5,38308,42130,324,Low
7 Series,2020,Africa,Black,Hybrid,Manual,4.0,119176,60935,1173,Low
5 Series,2018,Europe,Silver,Hybrid,Manual,1.9,167196,56285,5209,Low
M3,2019,Middle East,Blue,Diesel,Automatic,4.0,39735,64499,6503,Low
X3,2020,South America,Silver,Electric,Manual,3.4,132899,43320,3008,Low
3 Series,2015,North America,White,Petrol,Automatic,2.1,125900,107546,112,Low
X5,2011,Africa,Grey,Hybrid,Manual,2.4,46082,59691,5634,Low
i8,2013,South America,Black,Diesel,Manual,2.7,150761,34193,425,Low
X3,2016,Africa,White,Petrol,Manual,3.9,89156,108691,8478,High
i3,2015,Middle East,Silver,Diesel,Manual,2.4,91715,41502,7167,High
M5,2020,Europe,Silver,Electric,Automatic,3.9,96877,111787,5942,Low
5 Series,2020,Europe,White,Petrol,Manual,3.6,76245,47317,6204,Low
7 Series,2024,Middle East,Blue,Petrol,Automatic,4.5,175508,97857,1078,Low
i8,2013,Asia,Grey,Hybrid,Manual,1.5,50186,69097,5518,Low
M5,2011,Europe,Grey,Electric,Automatic,4.5,197942,64822,4211,Low
5 Series,2019,Africa,White,Hybrid,Automatic,2.0,166331,100048,2876,Low
3 Series,2013,Africa,Black,Diesel,Manual,3.8,171201,36103,5947,Low
X3,2021,South America,White,Hybrid,Automatic,3.0,150550,63305,6769,Low
X3,2014,Asia,Silver,Petrol,Manual,4.7,194766,89137,8841,High
X1,2013,Europe,Red,Hybrid,Automatic,4.9,54733,77694,9713,High
i8,2018,Middle East,White,Electric,Automatic,1.9,159252,67360,6837,Low
X6,2015,Middle East,Grey,Petrol,Automatic,4.8,101290,54856,908,Low
X6,2011,South America,Black,Hybrid,Manual,1.8,137036,34585,8851,High
i3,2015,Middle East,Black,Hybrid,Automatic,3.3,116842,37592,5531,Low
X3,2015,Asia,Grey,Electric,Manual,3.1,188207,97478,7474,High
X6,2020,Europe,Grey,Petrol,Manual,3.3,43847,64322,2063,Low
5 Series,2019,Africa,Black,Petrol,Automatic,2.4,145543,43310,6387,Low
M5,2024,Africa,Grey,Petrol,Automatic,3.7,108137,61400,1664,Low
X5,2015,Asia,Red,Electric,Automatic,4.0,11712,102347,6107,Low
i3,2017,Africa,Red,Hybrid,Manual,4.7,91429,62274,6688,Low
X3,2023,Asia,Black,Hybrid,Automatic,4.2,114792,68698,1781,Low
7 Series,2010,South America,Blue,Hybrid,Automatic,3.4,169022,110072,3588,Low
X6,2018,Europe,Grey,Petrol,Manual,2.0,137220,38416,3040,Low
X1,2021,North America,Blue,Hybrid,Manual,4.1,73525,84047,4686,Low
X6,2019,North America,Blue,Diesel,Manual,4.2,98353,94397,8953,High
X1,2022,South America,White,Hybrid,Manual,3.6,102274,112156,5076,Low
X5,2014,South America,Red,Diesel,Manual,5.0,47557,78655,8961,High
i3,2016,North America,Grey,Electric,Manual,3.9,78812,42273,899,Low
M3,2016,North America,Grey,Diesel,Manual,4.4,16631,33863,1728,Low
i8,2024,North America,Silver,Electric,Automatic,1.9,82991,55575,6308,Low
i3,2010,Middle East,Silver,Petrol,Manual,1.6,94551,115233,9740,High
X5,2018,Africa,Blue,Petrol,Automatic,4.2,151908,110928,209,Low
X3,2015,Asia,White,Electric,Automatic,2.5,35429,113898,9172,High
X6,2023,North America,Silver,Hybrid,Automatic,4.9,21979,118265,453,Low
i8,2013,Europe,White,Diesel,Manual,4.8,65437,75072,2276,Low
5 Series,2015,Middle East,Black,Diesel,Manual,4.1,123539,43534,176,Low
5 Series,2020,Europe,Blue,Petrol,Manual,1.9,165058,99468,7250,High
7 Series,2022,Asia,Black,Petrol,Manual,2.5,14140,78821,5902,Low
X6,2010,Asia,Silver,Diesel,Automatic,2.9,52825,112460,5828,Low
X6,2020,North America,Blue,Electric,Manual,3.1,104254,35152,9272,High
X5,2015,Asia,Grey,Electric,Automatic,4.3,90053,35933,3094,Low
M3,2015,Africa,Blue,Diesel,Automatic,3.9,148592,98688,509,Low
X1,2015,Europe,Blue,Hybrid,Manual,3.7,164194,110436,2304,Low
X6,2018,South America,Black,Electric,Manual,4.2,106254,59292,405,Low
X5,2012,Middle East,Blue,Hybrid,Manual,4.5,135889,103094,369,Low
M5,2020,Asia,White,Electric,Manual,4.5,161465,85633,8351,High
i3,2013,North America,Grey,Electric,Automatic,3.9,18616,79008,7309,High
7 Series,2014,Middle East,Red,Hybrid,Automatic,2.8,128282,106132,6109,Low
M3,2020,Europe,Blue,Diesel,Automatic,2.9,85444,50039,3795,Low
X5,2024,South America,White,Diesel,Manual,4.2,186128,46173,1655,Low
M3,2016,Middle East,Black,Petrol,Automatic,4.5,29803,93037,8643,High
M3,2019,Africa,White,Diesel,Manual,4.4,86156,61783,8086,High
7 Series,2018,North America,Red,Electric,Manual,3.3,138837,112176,9600,High
X1,2015,Africa,Silver,Hybrid,Automatic,2.4,124626,55897,3898,Low
i3,2014,Asia,Black,Electric,Automatic,4.1,102724,88140,3865,Low
X1,2016,South America,Silver,Hybrid,Automatic,4.1,96176,106297,4599,Low
5 Series,2010,Africa,Silver,Diesel,Automatic,4.1,194542,76399,191,Low
3 Series,2014,Middle East,Silver,Hybrid,Manual,2.0,81803,37667,5955,Low
X1,2016,Asia,Silver,Hybrid,Manual,3.9,29396,110288,9474,High
X5,2020,Asia,White,Electric,Manual,3.5,186323,113091,8945,High
7 Series,2013,Europe,Grey,Hybrid,Automatic,1.6,193102,84633,3787,Low
X3,2013,South America,Blue,Electric,Manual,4.9,145674,119947,4141,Low
X3,2010,Europe,Blue,Diesel,Manual,3.8,3045,101114,2453,Low
M3,2012,Africa,White,Petrol,Automatic,4.3,71143,53554,1339,Low
3 Series,2015,Middle East,Black,Electric,Automatic,2.2,103203,90629,503,Low
5 Series,2010,Europe,White,Petrol,Manual,2.8,181642,56436,6129,Low
X6,2020,South America,Silver,Electric,Manual,4.5,114840,58072,8981,High
M5,2013,Middle East,Grey,Petrol,Manual,4.8,16551,85249,2145,Low
X6,2010,Europe,White,Electric,Automatic,2.3,179187,68451,6212,Low
X6,2017,Middle East,Red,Diesel,Automatic,2.1,174803,38255,6379,Low
X1,2019,Africa,Silver,Petrol,Automatic,2.9,122492,97083,8313,High
X5,2021,North America,Black,Hybrid,Automatic,3.8,139643,40913,719,Low
M5,2012,Africa,White,Petrol,Automatic,2.0,34777,45074,609,Low
5 Series,2014,Asia,Blue,Hybrid,Automatic,2.7,2773,40747,7794,High
M3,2012,South America,Black,Diesel,Automatic,3.8,66526,65574,9806,High
5 Series,2012,South America,Red,Hybrid,Automatic,4.0,76463,66339,3835,Low
X3,2015,Africa,Blue,Hybrid,Manual,4.1,32995,93676,6241,Low
X3,2022,Middle East,Grey,Diesel,Automatic,3.6,4351,72289,2014,Low
X5,2010,South America,Grey,Petrol,Automatic,3.9,129157,99059,7024,High
X3,2023,Asia,Black,Electric,Automatic,1.8,140670,105201,9763,High
M5,2022,Asia,Red,Petrol,Automatic,4.7,14888,90678,5260,Low
M5,2018,North America,Black,Hybrid,Automatic,4.1,100423,40344,1938,Low
X6,2013,Africa,Silver,Diesel,Manual,4.8,7926,50439,2917,Low
i3,2018,Asia,Grey,Petrol,Manual,1.7,58105,39530,9690,High
5 Series,2014,North America,Blue,Petrol,Automatic,4.7,169017,87921,4553,Low
X3,2014,Europe,Blue,Hybrid,Manual,1.8,118206,46203,6690,Low
X5,2018,Asia,White,Hybrid,Automatic,4.6,177770,66703,2566,Low
i3,2022,Europe,White,Diesel,Manual,1.6,169861,116687,5073,Low
5 Series,2019,North America,Grey,Hybrid,Automatic,2.0,176123,90954,7722,High
7 Series,2013,Europe,Blue,Hybrid,Automatic,4.9,12693,52627,2016,Low
M5,2022,Africa,Red,Hybrid,Manual,5.0,23936,44462,9015,High
X1,2023,Africa,Blue,Hybrid,Manual,4.0,105806,89844,2020,Low
i8,2017,Middle East,Grey,Diesel,Manual,3.0,66100,71011,6639,Low
7 Series,2010,South America,Red,Electric,Automatic,4.2,118156,109561,2009,Low
X6,2016,North America,Blue,Diesel,Automatic,3.1,165732,69055,1061,Low
7 Series,2021,Asia,Blue,Petrol,Automatic,3.9,167845,72534,6543,Low
7 Series,2017,South America,Black,Hybrid,Manual,2.3,92411,41510,9669,High
5 Series,2019,Asia,Silver,Diesel,Automatic,2.2,25452,69271,996,Low
i3,2019,Asia,Black,Electric,Automatic,4.5,3060,104343,3952,Low
i3,2020,Middle East,Black,Hybrid,Automatic,2.4,53661,71477,6113,Low
X5,2021,Europe,Black,Diesel,Manual,3.9,175214,44977,2287,Low
i8,2010,Europe,Grey,Diesel,Manual,3.6,173993,99159,6550,Low
X3,2024,Europe,Black,Electric,Automatic,2.8,175560,57989,1171,Low
M5,2023,Middle East,Red,Diesel,Automatic,2.1,110683,46730,6788,Low
M3,2023,Asia,Silver,Hybrid,Automatic,3.5,117643,34033,8929,High
M5,2010,Middle East,Blue,Electric,Manual,3.7,44014,44294,1230,Low
i8,2013,North America,White,Hybrid,Manual,4.7,147394,51710,4702,Low
X1,2012,Europe,Red,Diesel,Manual,3.4,172872,95989,9534,High
X1,2023,Europe,Silver,Petrol,Manual,4.5,15133,97961,8401,High
i3,2016,Asia,Black,Diesel,Manual,2.4,145900,102970,456,Low
M5,2023,Middle East,Red,Diesel,Automatic,3.7,175316,72804,6261,Low
i3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,93997,6920,Low
7 Series,2014,Europe,White,Electric,Automatic,3.2,159664,119460,5183,Low
X3,2013,North America,Blue,Diesel,Manual,4.8,54087,102607,9267,High
X6,2022,South America,Blue,Diesel,Automatic,4.2,198341,32572,1666,Low
i8,2023,South America,Blue,Diesel,Manual,2.8,77389,103260,9189,High
M3,2011,Asia,Red,Electric,Automatic,4.0,161356,100362,3443,Low
M3,2024,Asia,Red,Electric,Automatic,4.2,98016,82395,6127,Low
7 Series,2020,North America,White,Diesel,Automatic,3.4,120304,114244,2555,Low
M3,2015,Europe,White,Hybrid,Automatic,4.7,45987,118475,4265,Low
X5,2017,Asia,Black,Hybrid,Automatic,2.9,108122,74618,7704,High
i3,2020,Asia,Black,Electric,Manual,2.3,18285,69059,4559,Low
3 Series,2022,Africa,White,Hybrid,Automatic,2.6,41113,57975,9543,High
i8,2018,North America,Black,Electric,Automatic,3.3,88942,35965,7287,High
X1,2017,Middle East,Silver,Electric,Manual,3.2,92795,48856,3785,Low
X5,2023,North America,Silver,Electric,Automatic,1.8,179315,83630,5603,Low
7 Series,2019,Middle East,Black,Hybrid,Automatic,4.9,126608,50688,391,Low
5 Series,2015,Europe,Silver,Electric,Automatic,4.6,113622,97478,4620,Low
3 Series,2019,Asia,White,Hybrid,Automatic,4.4,147927,50721,3768,Low
M5,2018,North America,Blue,Petrol,Manual,4.4,51485,62867,4248,Low
X6,2019,North America,Black,Petrol,Manual,2.3,144014,78941,6630,Low
i8,2015,Europe,Red,Hybrid,Automatic,1.7,121550,39195,7885,High
7 Series,2014,North America,Silver,Electric,Automatic,4.1,36602,93954,3018,Low
i8,2023,North America,Black,Electric,Automatic,2.1,82255,114264,5437,Low
3 Series,2022,Europe,Grey,Hybrid,Manual,2.0,98934,117861,6522,Low
X5,2012,Middle East,Blue,Diesel,Automatic,3.6,23258,84140,8511,High
X5,2018,North America,Red,Hybrid,Automatic,3.9,170962,118703,7449,High
i3,2015,North America,Black,Hybrid,Automatic,2.6,167264,74132,4219,Low
X6,2021,Africa,Silver,Electric,Automatic,2.6,189863,107791,1199,Low
M5,2022,Middle East,White,Petrol,Manual,2.2,75903,42074,1627,Low
M3,2017,Africa,Red,Electric,Manual,4.7,193077,86714,3990,Low
X3,2010,Africa,Red,Diesel,Manual,5.0,105411,37003,7439,High
X1,2010,Africa,Red,Electric,Manual,2.2,153319,97001,3746,Low
i3,2012,South America,Black,Diesel,Manual,3.4,144435,62407,6614,Low
X6,2022,Africa,Grey,Petrol,Automatic,4.8,125375,49851,4976,Low
X3,2016,Middle East,Silver,Hybrid,Automatic,4.7,89931,77166,9492,High
M5,2022,North America,White,Electric,Manual,2.5,33803,89739,3401,Low
X3,2021,Africa,Silver,Hybrid,Manual,4.4,103048,80889,7009,High
M5,2014,North America,Red,Hybrid,Automatic,2.4,86812,34222,4319,Low
M3,2019,North America,Grey,Electric,Manual,3.0,70370,89648,7101,High
X1,2019,Asia,Black,Hybrid,Manual,4.1,154359,113925,4392,Low
M3,2021,Middle East,White,Petrol,Manual,3.2,83500,89585,7822,High
X1,2016,Asia,Grey,Electric,Manual,2.0,142910,103980,4557,Low
M5,2023,South America,Silver,Diesel,Manual,3.1,26019,80758,6639,Low
X5,2021,North America,Grey,Diesel,Automatic,3.7,5157,38344,7048,High
3 Series,2012,North America,White,Electric,Automatic,4.5,195955,45335,7434,High
M5,2011,Africa,Red,Diesel,Automatic,4.6,174466,53961,2118,Low
3 Series,2013,Africa,Blue,Diesel,Automatic,4.6,173430,102906,3769,Low
X1,2024,North America,Grey,Diesel,Manual,1.7,72150,57311,7862,High
X6,2014,Africa,Red,Hybrid,Manual,4.3,44254,114139,7333,High
X3,2020,Europe,Red,Electric,Automatic,3.0,84672,82453,2906,Low
i8,2013,Asia,Grey,Petrol,Automatic,3.7,59895,110227,8179,High
i3,2010,Asia,Grey,Electric,Manual,3.7,179989,115927,6404,Low
X5,2012,Africa,Blue,Hybrid,Manual,2.7,199251,100753,1520,Low
X3,2011,Europe,Blue,Diesel,Manual,5.0,165731,111649,8114,High
7 Series,2010,South America,Red,Hybrid,Manual,4.7,50707,113329,9210,High
X6,2011,North America,Blue,Diesel,Automatic,2.6,156478,50931,130,Low
3 Series,2012,Asia,Blue,Petrol,Automatic,1.7,143848,104237,5201,Low
X1,2022,North America,Silver,Hybrid,Automatic,3.9,9296,38643,9941,High
M3,2018,Africa,Silver,Electric,Automatic,3.9,36265,42802,4391,Low
X1,2016,North America,Red,Electric,Manual,3.2,74682,119104,1587,Low
i8,2013,North America,Black,Petrol,Manual,3.7,147012,52288,4138,Low
X5,2012,Africa,Black,Petrol,Manual,3.7,84861,104979,6135,Low
7 Series,2017,South America,Black,Petrol,Automatic,4.1,114444,61668,9488,High
X1,2021,Middle East,Black,Electric,Automatic,1.9,13892,52465,3179,Low
X3,2012,Europe,White,Electric,Manual,4.5,157109,65352,8189,High
X3,2023,Middle East,Silver,Electric,Automatic,3.0,41628,50420,3633,Low
3 Series,2017,Middle East,Blue,Hybrid,Automatic,2.9,24881,63401,2347,Low
X5,2018,South America,Grey,Diesel,Automatic,2.6,87765,90620,8445,High
X1,2018,South America,White,Electric,Automatic,2.7,158843,32798,9314,High
3 Series,2013,Africa,Grey,Electric,Automatic,2.9,126405,93803,8453,High
M3,2010,Middle East,White,Electric,Manual,2.8,197973,117120,8586,High
M5,2024,Europe,White,Petrol,Manual,4.9,51655,85761,3569,Low
7 Series,2023,North America,Blue,Hybrid,Manual,2.5,106827,66498,8129,High
i3,2022,Europe,Black,Diesel,Manual,1.5,67113,94579,4086,Low
X5,2014,Asia,Black,Petrol,Automatic,3.8,4793,58502,7783,High
3 Series,2020,Middle East,Grey,Diesel,Automatic,3.9,115798,105356,6088,Low
7 Series,2019,Europe,Silver,Hybrid,Automatic,1.7,135331,116547,6707,Low
7 Series,2018,Europe,Silver,Hybrid,Manual,2.9,16841,75628,8340,High
X1,2016,Africa,Blue,Petrol,Manual,2.4,173440,78026,4234,Low
M5,2013,Africa,Red,Petrol,Manual,3.9,59398,109924,1760,Low
3 Series,2023,Europe,Grey,Diesel,Automatic,2.2,185324,78399,8440,High
X6,2023,South America,Silver,Electric,Manual,5.0,157620,104034,7738,High
X5,2010,Middle East,Silver,Diesel,Automatic,4.1,168737,82504,2867,Low
M5,2024,Middle East,Blue,Hybrid,Manual,4.6,1980,74883,6014,Low
X5,2017,South America,Grey,Electric,Automatic,4.1,97015,107895,378,Low
X1,2024,Middle East,Grey,Electric,Manual,1.6,190540,112644,2922,Low
5 Series,2024,North America,Blue,Electric,Manual,2.5,184310,38245,2371,Low
3 Series,2024,Europe,Black,Petrol,Automatic,3.5,138446,60450,8313,High
X3,2019,North America,Blue,Electric,Automatic,4.4,73276,69193,1618,Low
X6,2013,North America,Red,Electric,Automatic,3.7,72754,35786,5439,Low
3 Series,2020,Europe,Black,Diesel,Automatic,3.6,27604,42444,1554,Low
7 Series,2017,Middle East,Grey,Diesel,Automatic,3.9,120771,88591,6467,Low
X5,2017,North America,Red,Diesel,Automatic,2.8,148876,41977,6732,Low
i3,2012,North America,Blue,Diesel,Automatic,3.0,2309,53873,4438,Low
X1,2022,North America,Blue,Diesel,Manual,4.0,8412,62429,3076,Low
i3,2022,North America,Black,Hybrid,Automatic,4.0,53396,36295,1929,Low
7 Series,2017,Africa,Silver,Petrol,Manual,4.3,83994,33032,2375,Low
X3,2023,Asia,Red,Petrol,Automatic,2.8,185046,78954,1685,Low
X5,2023,South America,Blue,Hybrid,Manual,4.4,92775,74231,1462,Low
M5,2012,Middle East,Blue,Diesel,Automatic,3.8,69265,79366,479,Low
3 Series,2016,South America,Red,Petrol,Automatic,1.8,132661,82002,4735,Low
X3,2012,Asia,Black,Hybrid,Manual,3.6,130348,112854,8559,High
5 Series,2023,North America,Blue,Electric,Manual,2.7,77950,54099,2353,Low
X1,2016,Middle East,Blue,Petrol,Manual,1.6,17450,105548,5266,Low
i3,2016,Africa,Grey,Petrol,Manual,4.9,29327,55052,1188,Low
7 Series,2020,North America,Silver,Hybrid,Automatic,4.3,124228,70222,3359,Low
7 Series,2012,Africa,Grey,Hybrid,Automatic,2.4,19039,89368,6723,Low
i8,2015,South America,Grey,Petrol,Manual,2.1,67711,113232,3425,Low
X5,2019,South America,Blue,Diesel,Manual,2.8,129091,93067,9760,High
X3,2023,Asia,Red,Diesel,Automatic,3.0,69004,49732,5922,Low
M5,2018,Europe,Grey,Electric,Automatic,2.0,30874,72702,541,Low
i3,2024,South America,Red,Electric,Manual,3.5,87401,67449,9226,High
i3,2024,Africa,Silver,Hybrid,Manual,4.6,115245,86797,1161,Low
5 Series,2019,Middle East,Grey,Petrol,Automatic,4.1,25884,80220,6261,Low
5 Series,2017,North America,Blue,Hybrid,Manual,1.9,28268,49781,6021,Low
M3,2012,Africa,Blue,Hybrid,Manual,2.3,105654,112425,3073,Low
5 Series,2016,Asia,Black,Electric,Manual,4.1,57324,64684,5784,Low
X3,2011,Europe,Silver,Electric,Manual,4.0,181088,44563,1257,Low
M5,2020,Middle East,Red,Petrol,Manual,3.2,129385,92628,2677,Low
X1,2024,North America,Black,Petrol,Manual,3.7,27620,50708,560,Low
M5,2015,Asia,Silver,Petrol,Automatic,4.5,21897,39137,879,Low
5 Series,2019,South America,Blue,Diesel,Manual,2.4,61002,114525,4641,Low
X1,2020,Asia,Grey,Electric,Manual,2.1,119318,57201,4158,Low
X1,2018,North America,White,Petrol,Automatic,4.4,132983,100209,9462,High
X5,2022,North America,Blue,Petrol,Automatic,2.2,109169,51343,9967,High
i3,2012,Middle East,Black,Electric,Automatic,4.0,34713,71637,138,Low
3 Series,2013,Europe,Black,Hybrid,Automatic,3.1,52566,54339,1757,Low
X6,2014,South America,Grey,Hybrid,Automatic,2.7,112862,82428,5126,Low
M3,2022,Africa,Black,Electric,Manual,1.6,48256,91710,3440,Low
M3,2021,Europe,Red,Diesel,Automatic,5.0,154395,78491,5573,Low
X1,2011,South America,Black,Electric,Automatic,1.5,92715,59487,541,Low
X6,2024,North America,Blue,Petrol,Manual,4.5,132091,114843,5698,Low
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,79035,1036,Low
3 Series,2023,South America,Grey,Diesel,Automatic,2.8,136120,79147,2848,Low
