Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Sales_Volume,Sales_Classification,Prediction_Price_USD,Price_USD
X5,2017,North America,Red,Diesel,Automatic,2.8,148876,6732,Low,74914.6959,41977
i3,2012,North America,Blue,Diesel,Automatic,3,2309,4438,Low,75748.21172,53873
X1,2022,North America,Blue,Diesel,Manual,4,8412,3076,Low,76415.04146,62429
i3,2022,North America,Black,Hybrid,Automatic,4,53396,1929,Low,75167.13658,36295
7 Series,2017,Africa,Silver,Petrol,Manual,4.3,83994,2375,Low,75550.98945,33032
X3,2023,Asia,Red,Petrol,Automatic,2.8,185046,1685,Low,75756.19604,78954
X5,2023,South America,Blue,Hybrid,Manual,4.4,92775,1462,Low,74851.00197,74231
M5,2012,Middle East,Blue,Diesel,Automatic,3.8,69265,479,Low,74309.56166,79366
3 Series,2016,South America,Red,Petrol,Automatic,1.8,132661,4735,Low,75323.14116,82002
X3,2012,Asia,Black,Hybrid,Manual,3.6,130348,8559,High,74527.18027,112854
5 Series,2023,North America,Blue,Electric,Manual,2.7,77950,2353,Low,76516.4025,54099
X1,2016,Middle East,Blue,Petrol,Manual,1.6,17450,5266,Low,75404.90787,105548
i3,2016,Africa,Grey,Petrol,Manual,4.9,29327,1188,Low,74045.32219,55052
7 Series,2020,North America,Silver,Hybrid,Automatic,4.3,124228,3359,Low,75846.23455,70222
7 Series,2012,Africa,Grey,Hybrid,Automatic,2.4,19039,6723,Low,74695.13231,89368
i8,2015,South America,Grey,Petrol,Manual,2.1,67711,3425,Low,74463.1845,113232
X5,2019,South America,Blue,Diesel,Manual,2.8,129091,9760,High,74959.66726,93067
X3,2023,Asia,Red,Diesel,Automatic,3,69004,5922,Low,76061.16972,49732
M5,2018,Europe,Grey,Electric,Automatic,2,30874,541,Low,74295.01922,72702
i3,2024,South America,Red,Electric,Manual,3.5,87401,9226,High,75126.71509,67449
i3,2024,Africa,Silver,Hybrid,Manual,4.6,115245,1161,Low,74854.98208,86797
5 Series,2019,Middle East,Grey,Petrol,Automatic,4.1,25884,6261,Low,74522.27249,80220
5 Series,2017,North America,Blue,Hybrid,Manual,1.9,28268,6021,Low,75772.63055,49781
M3,2012,Africa,Blue,Hybrid,Manual,2.3,105654,3073,Low,74996.79501,112425
5 Series,2016,Asia,Black,Electric,Manual,4.1,57324,5784,Low,75989.44409,64684
X3,2011,Europe,Silver,Electric,Manual,4,181088,1257,Low,74843.51962,44563
M5,2020,Middle East,Red,Petrol,Manual,3.2,129385,2677,Low,73683.20859,92628
X1,2024,North America,Black,Petrol,Manual,3.7,27620,560,Low,75830.85619,50708
M5,2015,Asia,Silver,Petrol,Automatic,4.5,21897,879,Low,74994.08988,39137
5 Series,2019,South America,Blue,Diesel,Manual,2.4,61002,4641,Low,76115.55993,114525
X1,2020,Asia,Grey,Electric,Manual,2.1,119318,4158,Low,75662.78891,57201
X1,2018,North America,White,Petrol,Automatic,4.4,132983,9462,High,75847.47413,100209
X5,2022,North America,Blue,Petrol,Automatic,2.2,109169,9967,High,75396.3023,51343
i3,2012,Middle East,Black,Electric,Automatic,4,34713,138,Low,74579.10813,71637
3 Series,2013,Europe,Black,Hybrid,Automatic,3.1,52566,1757,Low,75005.00666,54339
X6,2014,South America,Grey,Hybrid,Automatic,2.7,112862,5126,Low,73430.87935,82428
M3,2022,Africa,Black,Electric,Manual,1.6,48256,3440,Low,75656.8439,91710
M3,2021,Europe,Red,Diesel,Automatic,5,154395,5573,Low,75507.533,78491
X1,2011,South America,Black,Electric,Automatic,1.5,92715,541,Low,75614.88818,59487
X6,2024,North America,Blue,Petrol,Manual,4.5,132091,5698,Low,75078.51131,114843
X1,2018,Africa,White,Petrol,Automatic,4.5,104441,1036,Low,75871.44798,79035
3 Series,2023,South America,Grey,Diesel,Automatic,2.8,136120,2848,Low,75241.37032,79147
X6,2016,Asia,Grey,Petrol,Automatic,4.2,29461,9687,High,74130.63346,76738
X5,2024,Asia,Blue,Petrol,Automatic,2.5,90825,9306,High,75871.60846,80087
M5,2014,Asia,White,Diesel,Automatic,3.6,163535,5468,Low,75286.63317,44116
5 Series,2013,Africa,Grey,Diesel,Automatic,4.4,172462,1179,Low,74669.41932,111133
i3,2018,Africa,White,Diesel,Automatic,3.6,25161,2734,Low,75703.71429,107434
X1,2011,Middle East,Grey,Hybrid,Automatic,1.6,90476,5565,Low,73950.45983,70631
7 Series,2018,Europe,Black,Petrol,Automatic,3.3,191240,8744,High,75522.54532,85128
X3,2023,Middle East,Red,Petrol,Manual,4,166008,8556,High,74200.07109,104215
M5,2016,Europe,White,Petrol,Automatic,4.2,178992,1061,Low,74663.51436,101690
i8,2024,Europe,White,Hybrid,Automatic,2.2,82543,8005,High,75729.48748,30342
M5,2013,South America,Blue,Hybrid,Manual,3.5,8168,7323,High,74016.3451,94656
7 Series,2020,South America,Black,Diesel,Automatic,2.1,185458,3921,Low,76052.59861,39432
X1,2018,Middle East,Blue,Diesel,Automatic,3.1,126520,6053,Low,75735.26233,68068
X1,2014,Europe,Blue,Diesel,Automatic,1.7,129701,2487,Low,76165.57548,119555
5 Series,2022,Middle East,Silver,Diesel,Automatic,3.5,11275,6008,Low,75679.41221,93017
M3,2011,Asia,Black,Petrol,Manual,1.6,12271,9266,High,75254.99378,48661
M3,2012,Asia,Silver,Diesel,Automatic,1.9,129567,896,Low,75975.38014,65166
X3,2014,Europe,Red,Petrol,Manual,1.5,106044,924,Low,74732.58026,106484
X1,2019,Europe,Blue,Hybrid,Automatic,4.6,177278,6317,Low,75725.65816,54300
i3,2021,North America,Grey,Hybrid,Automatic,2.7,103563,4902,Low,74534.00997,71543
7 Series,2011,North America,White,Hybrid,Manual,3.1,169893,6049,Low,75423.44013,85366
X3,2021,North America,White,Hybrid,Manual,4.6,58832,1363,Low,75263.09521,95096
7 Series,2014,Africa,White,Electric,Manual,5,101037,4433,Low,75873.37835,35125
5 Series,2012,Asia,Grey,Hybrid,Manual,3,181037,8802,High,74344.42841,53000
5 Series,2016,Africa,Grey,Hybrid,Manual,2.3,162594,8958,High,74018.26724,106465
M3,2011,Europe,Black,Electric,Manual,4,188968,1050,Low,74911.96697,83364
5 Series,2019,North America,Grey,Electric,Manual,1.7,49686,5501,Low,75310.03046,112200
X3,2015,North America,Red,Electric,Automatic,3.8,33208,4979,Low,75367.80078,65441
X6,2016,South America,Red,Petrol,Manual,1.5,118438,9049,High,73953.04452,82086
5 Series,2011,Middle East,Red,Electric,Manual,3.2,4808,2960,Low,74759.51917,107718
M5,2021,Africa,Red,Electric,Manual,2.5,142674,753,Low,74475.34127,84551
i3,2021,South America,White,Electric,Automatic,2.1,137420,6224,Low,75962.92299,51346
3 Series,2024,Middle East,Grey,Petrol,Automatic,2,101306,1558,Low,74686.10322,75858
X1,2020,Europe,White,Hybrid,Automatic,3.8,41809,3859,Low,75907.19868,61336
i3,2010,Europe,White,Petrol,Manual,3.3,6499,4355,Low,75007.89981,64707
7 Series,2013,Middle East,Silver,Electric,Automatic,2.2,192651,9991,High,75222.18793,81998
M5,2021,Africa,Blue,Petrol,Manual,3.7,94420,5233,Low,74743.34058,32699
X5,2010,Europe,Red,Electric,Manual,4,48211,2473,Low,74323.48739,57521
5 Series,2013,Europe,Black,Diesel,Automatic,3.3,123966,7800,High,75286.52379,35654
3 Series,2023,Africa,Red,Diesel,Manual,2.5,115702,6300,Low,75515.55128,99668
7 Series,2016,Middle East,Grey,Diesel,Automatic,2.6,17928,2369,Low,74898.38075,101194
X6,2010,North America,Blue,Diesel,Automatic,3,115060,5125,Low,74932.20628,56887
i3,2011,South America,Silver,Electric,Manual,2.4,141363,3658,Low,74921.7454,106549
X1,2018,Africa,Red,Petrol,Manual,3.1,175995,1597,Low,75130.99907,77722
M5,2021,Europe,Red,Petrol,Automatic,4,159969,8539,High,74248.04676,37631
3 Series,2010,South America,Blue,Petrol,Manual,3.8,103028,5729,Low,75233.09827,66532
7 Series,2017,South America,White,Petrol,Manual,4.1,141854,4312,Low,75820.08384,114599
3 Series,2022,Middle East,Red,Diesel,Manual,2,111193,9988,High,74838.08009,117499
i3,2019,Europe,Grey,Petrol,Automatic,4.4,14026,3178,Low,74605.31838,95471
3 Series,2013,North America,Blue,Hybrid,Automatic,4.9,75663,2255,Low,75476.8758,63445
X5,2014,Asia,White,Petrol,Automatic,3.7,147651,754,Low,75384.48019,89551
7 Series,2013,Middle East,Blue,Diesel,Automatic,2.7,977,8561,High,75649.67986,40427
X1,2024,Europe,Grey,Diesel,Manual,4,87263,8913,High,75002.07991,71666
X1,2015,Europe,Silver,Electric,Automatic,2.5,109226,8270,High,75734.94061,111566
M3,2020,South America,Black,Petrol,Automatic,2.9,182682,3117,Low,75377.39548,61267
X6,2024,Africa,Blue,Diesel,Manual,3.4,121713,5657,Low,75125.07322,99228
3 Series,2017,South America,Silver,Electric,Automatic,2.4,27699,9479,High,75733.85147,64054
X3,2021,Middle East,Black,Electric,Manual,2,145781,6107,Low,74783.75949,67574
i3,2022,South America,Red,Hybrid,Manual,2.3,183059,2356,Low,74652.59282,85070
i8,2013,Europe,Grey,Petrol,Automatic,2.5,17678,8471,High,74485.59385,42364
i3,2015,Asia,Silver,Hybrid,Automatic,2.9,152741,3846,Low,75313.66716,66975
X6,2018,North America,Silver,Diesel,Automatic,3.7,169012,1706,Low,74897.53315,91231
X6,2019,North America,Blue,Petrol,Manual,1.5,195836,2437,Low,74934.11923,57425
3 Series,2012,North America,Blue,Hybrid,Automatic,2.8,65600,6087,Low,75565.45965,95518
5 Series,2024,Europe,Grey,Electric,Automatic,4.1,110199,7796,High,75281.24354,35577
X6,2015,North America,Grey,Hybrid,Automatic,4.9,34082,4242,Low,73592.70184,87940
M3,2011,Middle East,White,Diesel,Automatic,2.1,126167,8918,High,74932.05664,45123
3 Series,2018,Middle East,Silver,Electric,Automatic,1.9,59012,3138,Low,75483.99531,38545
M3,2018,Europe,Black,Hybrid,Automatic,2,17674,4579,Low,75280.95647,91890
X3,2022,Asia,White,Diesel,Automatic,4,74304,8623,High,76215.71182,91406
7 Series,2015,Asia,Blue,Petrol,Automatic,1.6,82554,445,Low,76786.12196,102013
X3,2022,Europe,Red,Diesel,Automatic,1.7,104948,8016,High,75349.19463,111970
M5,2014,Middle East,Black,Hybrid,Automatic,4.1,114680,7450,High,73167.43157,52472
3 Series,2019,Middle East,Red,Diesel,Automatic,3,128529,6867,Low,75083.62775,33565
X3,2017,South America,Red,Petrol,Manual,2.2,153946,8840,High,74529.39171,93409
i8,2015,North America,White,Petrol,Automatic,4.7,87485,4259,Low,75734.2692,106225
i3,2016,Middle East,Silver,Diesel,Automatic,3.2,22846,378,Low,74919.77146,109512
X1,2022,North America,Red,Electric,Manual,2.4,46236,8766,High,75788.12599,36664
7 Series,2018,Asia,White,Petrol,Automatic,4.5,145514,6011,Low,76629.44121,87379
5 Series,2024,Middle East,Red,Electric,Manual,4.6,37384,5122,Low,75287.62193,101303
i3,2024,Asia,Black,Petrol,Manual,1.7,134506,3327,Low,75709.42882,38143
7 Series,2015,Middle East,Silver,Hybrid,Automatic,2.8,174887,3739,Low,74968.14413,117681
X5,2024,Africa,Blue,Diesel,Automatic,2.3,109855,7562,High,75457.1971,59744
7 Series,2021,Africa,Grey,Petrol,Automatic,4.5,164998,5681,Low,75134.98282,70542
i8,2016,Africa,Black,Diesel,Manual,2.7,58594,5225,Low,75218.87611,55669
X5,2021,Asia,Blue,Petrol,Manual,2,28992,1843,Low,75775.63671,39774
X5,2022,Asia,Black,Electric,Manual,3.6,168127,5451,Low,75350.93917,62129
5 Series,2015,South America,Grey,Diesel,Automatic,3.3,106072,9763,High,74756.5424,45536
M3,2018,North America,Grey,Petrol,Manual,4.9,112831,9021,High,74314.63961,79032
X1,2019,Africa,Red,Petrol,Automatic,4.6,174305,3345,Low,75353.14891,89258
7 Series,2021,Europe,Grey,Diesel,Manual,3.6,26832,5087,Low,75372.92973,64760
7 Series,2012,Asia,White,Electric,Automatic,3,105469,3977,Low,76733.17029,91360
M3,2011,North America,Red,Electric,Automatic,1.7,119960,6900,Low,75441.01502,56835
M3,2021,Middle East,Red,Hybrid,Manual,3.9,162844,7239,High,74071.46355,71679
3 Series,2013,Middle East,Grey,Petrol,Automatic,4.8,101932,8750,High,73759.70012,90879
X5,2010,Europe,Black,Petrol,Automatic,4.5,165740,8615,High,73994.32046,109222
X6,2010,South America,Blue,Diesel,Manual,3.6,133870,8049,High,74247.21077,111362
X1,2020,Africa,Red,Diesel,Automatic,4.4,48582,108,Low,75737.78453,113506
M5,2014,Middle East,Blue,Diesel,Automatic,4.7,126017,536,Low,74291.82166,35024
X5,2011,Europe,Red,Hybrid,Automatic,2.7,198142,2815,Low,73989.27997,92211
i3,2012,Europe,Blue,Diesel,Automatic,1.6,13757,2186,Low,75707.25013,92303
3 Series,2017,Middle East,Black,Diesel,Manual,5,66433,7209,High,74516.90991,60521
7 Series,2011,Africa,Red,Petrol,Automatic,2.9,85401,3961,Low,75370.20921,111996
i8,2019,Asia,Blue,Diesel,Automatic,3.6,85763,809,Low,76621.78694,72815
M3,2014,North America,Silver,Petrol,Automatic,3.7,57041,2070,Low,75493.26074,39096
X3,2020,Asia,Black,Diesel,Automatic,2.8,61789,9450,High,75773.93479,37116
M3,2022,Asia,Red,Hybrid,Manual,1.9,132224,9700,High,75310.97034,70122
X5,2015,Europe,White,Petrol,Automatic,1.5,12010,1935,Low,75234.87096,111731
7 Series,2013,Asia,Red,Petrol,Manual,4.1,95890,1115,Low,75713.90801,70084
i8,2024,Middle East,Silver,Diesel,Manual,2.2,80240,9111,High,75126.1156,117487
X1,2019,South America,Black,Electric,Manual,1.5,95951,2389,Low,75751.80206,116306
3 Series,2011,Africa,White,Electric,Automatic,2.6,49812,6513,Low,75816.18917,41202
i8,2024,Asia,Blue,Electric,Automatic,2.4,61931,7953,High,76841.47514,94263
i8,2013,Asia,Black,Petrol,Automatic,3,181828,9987,High,75361.37601,80583
M3,2023,Middle East,Blue,Diesel,Manual,3.9,116591,6145,Low,75456.17489,106993
5 Series,2022,Asia,Grey,Petrol,Automatic,3.4,182450,635,Low,75568.49268,57673
i8,2011,Africa,Black,Electric,Automatic,4.1,52184,336,Low,75235.41549,45705
X3,2020,North America,Grey,Electric,Manual,3.5,4582,4048,Low,74858.311,66581
3 Series,2021,Africa,White,Petrol,Manual,3.4,123416,7559,High,75439.01903,39066
M3,2024,North America,White,Hybrid,Automatic,2,131937,2934,Low,75987.61079,118301
i3,2020,Middle East,Blue,Petrol,Automatic,4.2,31961,2442,Low,75194.86031,56614
X6,2022,South America,Red,Petrol,Manual,4.8,137650,9876,High,74034.53041,115615
7 Series,2022,Asia,Blue,Petrol,Manual,2.8,81595,4443,Low,76808.18114,38725
M5,2019,Middle East,Silver,Diesel,Automatic,4,50673,2844,Low,74340.04806,85799
X5,2016,Middle East,White,Petrol,Automatic,3.6,37664,3199,Low,74579.97135,111903
X3,2021,Middle East,Black,Electric,Manual,2.6,153260,9832,High,74524.99216,101183
X6,2024,Europe,Grey,Hybrid,Automatic,4.7,170475,5855,Low,73789.97403,92527
M3,2015,Europe,Blue,Hybrid,Automatic,4.1,75620,8598,High,75222.03006,59124
5 Series,2024,Asia,Black,Petrol,Automatic,1.8,168639,2166,Low,76385.32944,30155
3 Series,2019,Asia,Red,Electric,Automatic,3.9,22128,144,Low,76266.50419,87775
X5,2011,Asia,Grey,Petrol,Automatic,3.5,160453,9896,High,73987.32761,86619
3 Series,2013,Africa,Red,Hybrid,Manual,3.2,45682,8964,High,74374.70184,106447
M3,2017,Europe,Silver,Petrol,Manual,3.6,50303,8160,High,75074.52501,83057
M3,2022,South America,White,Hybrid,Manual,4.3,185620,8100,High,75064.48421,95326
M3,2020,Europe,White,Electric,Automatic,3.5,30265,7397,High,76041.09616,78330
5 Series,2024,Africa,Red,Electric,Manual,4.9,192109,4383,Low,75543.02715,36761
3 Series,2015,North America,Silver,Petrol,Automatic,2.8,176196,5055,Low,75543.19124,40554
X6,2023,Asia,White,Diesel,Manual,2.5,51498,5274,Low,75728.43758,85405
i8,2023,Africa,Blue,Electric,Manual,4.9,10751,4378,Low,76069.98614,116583
i3,2020,Middle East,Black,Petrol,Automatic,2.5,30888,9972,High,74589.95874,40098
i3,2011,Europe,Grey,Diesel,Manual,3.7,117908,4966,Low,74058.5523,104336
M3,2010,South America,Blue,Hybrid,Automatic,1.6,134293,8398,High,75010.76865,84930
X1,2021,Africa,Black,Electric,Automatic,3.7,34664,6461,Low,75991.19343,81754
3 Series,2021,Europe,Silver,Electric,Manual,3.1,161987,6846,Low,75742.03616,61215
M5,2010,Middle East,White,Diesel,Automatic,1.6,176086,3594,Low,74155.95155,37274
7 Series,2018,South America,White,Electric,Manual,2.1,86823,6004,Low,76320.7564,115037
i3,2010,Europe,Blue,Electric,Automatic,3.7,143169,4366,Low,75424.68196,84272
M3,2023,Middle East,Red,Hybrid,Manual,3.7,125981,1802,Low,74437.93049,100890
X5,2023,North America,Blue,Petrol,Automatic,4.2,45904,2250,Low,75610.78708,118362
X5,2024,Middle East,White,Electric,Automatic,3.6,36859,5862,Low,75249.6907,118946
X3,2015,Africa,White,Diesel,Manual,1.9,3980,2019,Low,75438.40707,78628
i3,2017,Middle East,Blue,Hybrid,Automatic,2,16004,6705,Low,74915.09849,41480
X3,2023,South America,White,Hybrid,Manual,4.8,51955,7147,High,74990.3889,38182
i8,2013,Europe,Silver,Petrol,Manual,3.9,185012,9358,High,74728.88421,103924
7 Series,2021,South America,Grey,Electric,Manual,4.1,199026,4167,Low,75189.84803,89495
3 Series,2022,North America,Red,Diesel,Manual,1.8,58542,5967,Low,75785.44619,65676
5 Series,2011,Middle East,Red,Petrol,Manual,1.9,179718,2738,Low,74370.44097,53889
5 Series,2024,North America,Grey,Hybrid,Manual,2.4,158840,8104,High,74627.84371,58312
3 Series,2016,South America,Red,Petrol,Manual,2.5,134587,8828,High,74806.49851,86972
X6,2017,Middle East,Black,Petrol,Automatic,2.1,173446,3890,Low,73927.28129,104740
i8,2022,North America,Blue,Diesel,Manual,4.9,127664,9272,High,75803.07134,72541
X1,2022,Europe,Grey,Petrol,Automatic,3.6,170293,2639,Low,75120.88493,36745
5 Series,2018,Europe,White,Diesel,Manual,4,34023,4479,Low,75979.49902,38641
i8,2018,Europe,Black,Petrol,Automatic,4.4,193467,8445,High,75029.72645,102279
3 Series,2014,South America,Silver,Petrol,Manual,3.1,95696,8162,High,74938.0844,32803
M3,2014,Asia,Red,Electric,Manual,4.6,164417,3772,Low,75481.19089,102426
M5,2010,Asia,White,Electric,Automatic,4.4,62540,6898,Low,75240.42614,71386
3 Series,2013,North America,Red,Electric,Automatic,4.5,178224,2378,Low,75384.94022,61624
i3,2010,Africa,Black,Hybrid,Automatic,4.7,120102,9813,High,74027.69667,38281
7 Series,2016,North America,Blue,Hybrid,Automatic,4.7,87448,5239,Low,75994.27399,115440
X1,2022,South America,White,Electric,Automatic,4.3,179836,4525,Low,76328.38107,51482
X1,2012,Asia,Silver,Petrol,Manual,3,27119,5778,Low,75819.39586,113017
7 Series,2010,North America,Silver,Electric,Automatic,3.8,132967,9438,High,75706.57393,104860
5 Series,2019,South America,Grey,Hybrid,Automatic,4.1,84993,8797,High,74465.70468,50537
X1,2011,South America,Black,Diesel,Manual,4,53023,766,Low,75167.26487,118870
M3,2021,Middle East,Blue,Hybrid,Manual,3.3,162486,254,Low,74871.61773,83098
3 Series,2023,Europe,Blue,Hybrid,Manual,2,176969,207,Low,75662.81282,68501
X3,2013,Asia,Black,Hybrid,Automatic,2.5,174745,4218,Low,75065.0223,116726
M5,2017,Europe,Black,Petrol,Automatic,3.6,188062,2197,Low,74311.23588,89068
X3,2012,Middle East,Grey,Hybrid,Manual,1.6,108300,6313,Low,73245.21856,79180
X6,2022,South America,Grey,Hybrid,Manual,4.7,36630,1876,Low,73535.32476,107637
X6,2019,South America,Black,Diesel,Manual,3,60422,3576,Low,74532.65699,92294
i8,2019,North America,Grey,Petrol,Manual,3.9,709,9167,High,74571.73159,36432
X3,2010,South America,Red,Petrol,Manual,2.7,5535,1347,Low,74530.96608,54994
X1,2013,North America,Black,Electric,Automatic,4.4,11643,5456,Low,75791.12077,70164
X6,2011,Africa,Blue,Hybrid,Manual,2.8,38916,6171,Low,74142.2871,42832
7 Series,2020,Middle East,White,Hybrid,Manual,4.3,139157,4860,Low,75171.90603,69517
X1,2011,Africa,Black,Petrol,Manual,4.7,35351,9019,High,74690.58549,94575
X1,2019,Asia,Red,Diesel,Automatic,1.7,74900,4410,Low,76408.77976,76382
3 Series,2014,Asia,Blue,Petrol,Manual,4.9,47246,827,Low,75954.40835,109664
i8,2023,Europe,Silver,Petrol,Manual,2.4,77259,5257,Low,75650.86581,97872
X5,2012,Europe,Black,Hybrid,Manual,2.7,148253,9137,High,73680.41789,66000
X6,2022,North America,Black,Electric,Manual,3.3,27481,6639,Low,74943.24147,38647
X6,2016,South America,White,Hybrid,Manual,2.9,181046,7285,High,74001.69247,79767
X1,2021,Europe,Red,Electric,Manual,3.7,187304,9921,High,75393.59215,87012
X1,2016,Africa,White,Electric,Manual,4.3,23990,7150,High,75672.00077,46044
M5,2016,North America,Black,Petrol,Automatic,2.8,41321,182,Low,74582.49369,33346
i8,2013,Africa,Grey,Petrol,Automatic,4.4,130537,2980,Low,74355.30409,104623
i8,2018,Asia,Grey,Hybrid,Manual,1.6,79157,3686,Low,74875.58837,109247
i8,2021,Europe,Blue,Hybrid,Automatic,3.7,91626,1605,Low,75760.66055,115673
7 Series,2017,Middle East,Blue,Hybrid,Automatic,2.6,151732,575,Low,75431.65425,44098
5 Series,2020,North America,Black,Electric,Manual,3,128857,7623,High,75583.78069,45182
X3,2013,Africa,Blue,Hybrid,Manual,3.8,90607,1845,Low,74729.77934,117196
i3,2017,Asia,Grey,Diesel,Automatic,2.8,75584,6117,Low,75200.22024,33247
7 Series,2010,Asia,Red,Petrol,Automatic,1.6,33065,5814,Low,76045.07806,51596
M3,2012,Middle East,Red,Petrol,Automatic,2.6,179011,3774,Low,74437.92977,72098
X1,2015,Asia,Grey,Diesel,Automatic,2.1,199235,1194,Low,75495.15772,84022
5 Series,2020,North America,Silver,Diesel,Automatic,2.5,104765,1258,Low,76192.86049,55551
X5,2017,Africa,Silver,Petrol,Automatic,4.8,32268,7530,High,74536.24575,68638
X3,2024,North America,White,Electric,Manual,3.1,16206,9975,High,75888.57364,106681
X5,2011,South America,Blue,Hybrid,Automatic,2,176698,933,Low,74560.36113,65648
3 Series,2023,Europe,Grey,Diesel,Automatic,1.9,161350,4534,Low,75312.27343,92814
i8,2023,Africa,Red,Petrol,Automatic,2.3,87384,9789,High,75361.99236,46605
i3,2017,Africa,Grey,Petrol,Automatic,1.8,47351,6332,Low,74520.33784,108455
M5,2013,Asia,White,Petrol,Automatic,1.9,176631,7185,High,74923.35661,98675
X5,2013,North America,Blue,Electric,Manual,4.5,118565,235,Low,75023.64082,31272
M3,2019,Asia,Grey,Hybrid,Automatic,3.2,111472,1742,Low,75029.41041,87742
i3,2020,North America,White,Petrol,Automatic,3.5,6300,9682,High,75647.92435,54518
M5,2024,Europe,White,Electric,Manual,1.6,166846,7780,High,75027.27428,45346
X1,2015,Asia,Blue,Electric,Automatic,1.7,93209,4637,Low,76826.5303,58011
X1,2013,Africa,Grey,Hybrid,Automatic,2.7,180240,826,Low,74328.41539,100463
M5,2011,Asia,Black,Hybrid,Manual,4,184952,9821,High,73723.35001,99734
M5,2018,Africa,Blue,Diesel,Manual,2.8,44465,3381,Low,74886.24464,39035
3 Series,2010,Africa,White,Petrol,Manual,4.8,167371,197,Low,74972.00275,107138
M3,2020,South America,Red,Diesel,Automatic,1.6,84035,1186,Low,75691.08376,87807
7 Series,2013,Europe,Blue,Electric,Manual,3.8,39520,9129,High,75920.64584,115691
X5,2016,North America,Grey,Hybrid,Automatic,2.8,159312,6516,Low,73838.59205,86252
3 Series,2012,Africa,Red,Hybrid,Manual,3.2,136757,7692,High,74221.73806,86851
X3,2011,Africa,Blue,Hybrid,Manual,3.7,2885,8321,High,74521.89336,113776
M3,2016,South America,Grey,Electric,Manual,3.7,117253,3519,Low,74609.81863,62462
M3,2023,North America,Silver,Electric,Manual,2.1,175559,5247,Low,75915.32307,32754
X3,2024,Middle East,Red,Electric,Automatic,4.7,145822,865,Low,74970.99396,40363
M5,2021,South America,Red,Hybrid,Manual,3.2,8848,4354,Low,74094.98496,36549
X5,2010,Africa,Blue,Diesel,Manual,4.4,184826,9220,High,74294.72648,101736
M5,2012,Middle East,Black,Diesel,Manual,2.9,25981,6034,Low,73662.11148,66081
M3,2020,South America,White,Petrol,Automatic,4,21831,1799,Low,75920.34311,96323
X3,2017,North America,Black,Electric,Manual,2.2,187708,6669,Low,75187.88718,55925
X6,2018,Africa,Silver,Petrol,Automatic,3.4,101378,7463,High,74380.2519,94948
i3,2013,Africa,Red,Petrol,Manual,2.7,124901,2297,Low,74468.97723,75397
X5,2014,Europe,White,Hybrid,Manual,3.7,122280,8415,High,74177.41708,56848
X6,2016,North America,Red,Electric,Automatic,4.4,42477,2104,Low,74761.48247,49795
X6,2011,Europe,White,Diesel,Automatic,2.5,44673,7979,High,74699.24879,37008
M3,2019,Africa,Red,Petrol,Automatic,1.7,22556,4795,Low,75463.72994,42258
X3,2024,Europe,Blue,Electric,Manual,4.6,143512,1880,Low,75825.1561,98294
M3,2022,South America,White,Petrol,Automatic,4.4,60777,3847,Low,75953.54334,71933
M3,2023,Asia,Black,Petrol,Automatic,4.8,120723,3616,Low,76011.84953,99644
3 Series,2016,South America,Grey,Diesel,Manual,2.3,184897,2761,Low,74609.60987,47757
X1,2023,North America,Blue,Petrol,Manual,4,110391,4754,Low,76167.45466,102707
5 Series,2015,Africa,Red,Diesel,Manual,4.9,151428,7150,High,74840.21581,79574
i8,2020,Middle East,Blue,Hybrid,Automatic,4.1,115997,8895,High,74895.29328,75095
M3,2015,Middle East,White,Diesel,Automatic,3.8,163522,6396,Low,75203.60126,42381
7 Series,2013,Europe,Red,Hybrid,Automatic,3.5,101471,4955,Low,75239.16369,79518
X6,2022,South America,Red,Diesel,Manual,3.1,175287,7710,High,74275.35876,35222
X5,2016,Africa,Grey,Hybrid,Automatic,4.4,21842,6152,Low,73684.05432,118955
5 Series,2016,South America,Blue,Diesel,Manual,3.7,50801,5358,Low,75901.17595,110080
X6,2013,Europe,Silver,Electric,Automatic,1.9,153583,9712,High,74536.90618,89958
i8,2020,Asia,White,Petrol,Automatic,3.4,113488,6895,Low,76405.86731,95775
5 Series,2013,Middle East,Blue,Diesel,Manual,4.1,122470,507,Low,75137.46622,94777
3 Series,2016,North America,White,Electric,Manual,2.4,104214,6025,Low,75970.78129,60850
i3,2013,Middle East,Grey,Diesel,Manual,2.2,37795,4599,Low,73784.90444,54732
i8,2022,Africa,Blue,Diesel,Manual,5,68369,3477,Low,75863.28494,84941
5 Series,2020,North America,Blue,Electric,Manual,4.9,116637,611,Low,76192.09303,51820
7 Series,2021,South America,Grey,Electric,Manual,2.4,46721,8213,High,75247.45972,56540
i3,2012,Asia,Blue,Hybrid,Manual,3.9,54847,5936,Low,75286.28886,67431
i3,2024,Africa,Blue,Diesel,Manual,4.2,172397,5646,Low,75610.75716,57986
X3,2024,Europe,Blue,Hybrid,Manual,1.5,35277,848,Low,75579.11345,62142
X5,2024,Asia,Silver,Petrol,Automatic,3.4,96137,107,Low,75695.43456,103080
M3,2016,Europe,Black,Electric,Automatic,3.3,29073,9393,High,75428.534,117018
i8,2013,Asia,Silver,Electric,Automatic,4.2,161855,1932,Low,75960.4852,38817
X6,2014,Middle East,White,Petrol,Manual,3.3,57362,2078,Low,74006.0338,108706
