Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Sales_Volume,Sales_Classification
X6,2012,North America,Red,Petrol,Automatic,2,8518,4025,Low
X6,2019,Middle East,Blue,Electric,Automatic,4.5,170239,2619,Low
5 Series,2014,North America,Red,Hybrid,Automatic,1.5,53699,9769,High
X1,2019,Asia,Red,Diesel,Manual,4.4,137435,6398,Low
3 Series,2018,Asia,Grey,Petrol,Manual,4.3,59026,3871,Low
i8,2014,South America,White,Diesel,Manual,3.7,81700,4457,Low
X3,2018,Asia,Red,Diesel,Manual,2.2,30989,904,Low
3 Series,2015,Asia,Red,Electric,Automatic,4.9,191080,5675,Low
7 Series,2021,Asia,Blue,Electric,Automatic,1.8,95810,7500,High
i3,2011,Asia,Black,Electric,Automatic,1.7,104662,6163,Low
7 Series,2010,Middle East,Silver,Petrol,Manual,3.5,111843,6698,Low
X6,2011,Middle East,Black,Hybrid,Manual,5,17249,1500,Low
X3,2021,North America,Silver,Electric,Manual,4.9,180944,9754,High
X1,2021,North America,Blue,Hybrid,Manual,4.9,135718,4433,Low
i8,2023,North America,Red,Petrol,Automatic,3,97782,1568,Low
5 Series,2022,Africa,Silver,Electric,Automatic,4.5,143727,8477,High
X6,2024,Middle East,Grey,Petrol,Automatic,3.4,135301,9321,High
M5,2015,Asia,Blue,Electric,Manual,2.8,12642,8008,High
5 Series,2015,Europe,Silver,Hybrid,Automatic,4.4,88919,778,Low
M5,2014,Asia,Grey,Electric,Automatic,2.8,99059,7739,High
M3,2014,Asia,Silver,Electric,Manual,2.7,145866,6945,Low
X5,2019,Europe,Blue,Electric,Automatic,2.9,172503,4780,Low
X6,2021,Europe,Grey,Electric,Manual,2.8,84087,363,Low
7 Series,2012,South America,Black,Electric,Automatic,3.4,25532,4114,Low
3 Series,2022,North America,Black,Electric,Manual,3.7,77624,433,Low
X5,2021,Asia,White,Petrol,Automatic,2.4,11527,3397,Low
X6,2019,Middle East,White,Hybrid,Manual,1.7,47811,8236,High
X3,2021,North America,Silver,Electric,Manual,2.2,118110,1375,Low
M5,2022,Europe,Blue,Electric,Manual,4.3,95244,5367,Low
5 Series,2014,Asia,Black,Electric,Automatic,4.3,158347,4107,Low
M5,2019,Europe,Silver,Petrol,Automatic,2.2,69230,492,Low
5 Series,2014,North America,Grey,Diesel,Automatic,2,55804,2403,Low
X5,2022,South America,Blue,Petrol,Automatic,2.3,144891,4664,Low
7 Series,2012,Asia,Silver,Hybrid,Automatic,4.6,139720,1151,Low
i3,2012,South America,Grey,Hybrid,Automatic,2.2,141602,8012,High
5 Series,2021,Europe,Black,Hybrid,Automatic,4.3,95304,5421,Low
7 Series,2013,Middle East,Black,Petrol,Automatic,4,173913,4380,Low
3 Series,2013,Asia,Red,Petrol,Automatic,1.9,100929,937,Low
M5,2024,North America,Silver,Petrol,Automatic,4.5,188423,5858,Low
5 Series,2016,South America,White,Hybrid,Manual,4.6,98332,7419,High
X6,2018,South America,White,Hybrid,Manual,1.8,188969,7989,High
X3,2016,South America,Blue,Diesel,Manual,2.5,143519,7553,High
5 Series,2016,Africa,Silver,Petrol,Automatic,4.6,97581,8155,High
3 Series,2011,Africa,Grey,Petrol,Automatic,4.3,85225,5739,Low
i8,2011,South America,Red,Electric,Automatic,4.6,28539,2695,Low
M5,2017,North America,Grey,Electric,Automatic,2.3,106505,9585,High
M5,2024,North America,Red,Diesel,Automatic,1.5,122462,1002,Low
X5,2011,South America,White,Electric,Manual,2.3,42361,4930,Low
i3,2019,Europe,White,Hybrid,Manual,3,24937,3365,Low
X3,2023,Africa,Silver,Petrol,Manual,2.9,170572,9491,High
7 Series,2019,Middle East,Black,Hybrid,Automatic,2.6,21416,6783,Low
3 Series,2016,North America,Black,Diesel,Manual,2.8,69945,9019,High
M3,2019,Africa,Grey,Petrol,Manual,2.6,28942,3171,Low
5 Series,2011,Middle East,Black,Diesel,Manual,3.3,32422,8155,High
7 Series,2023,Africa,Black,Electric,Automatic,4.7,157932,1006,Low
3 Series,2022,Africa,White,Petrol,Manual,3.8,133706,4740,Low
X5,2012,Africa,Silver,Diesel,Manual,4.6,39492,4369,Low
X3,2012,North America,White,Diesel,Automatic,2.3,121703,8333,High
X1,2012,Africa,White,Petrol,Automatic,1.7,129400,9145,High
i3,2019,Africa,Red,Electric,Manual,3.7,48870,2098,Low
X6,2017,South America,White,Electric,Manual,3.8,140174,1853,Low
M5,2021,Asia,Grey,Electric,Manual,4.1,44809,6825,Low
X6,2014,Asia,Silver,Diesel,Automatic,3.7,163747,4774,Low
X5,2021,Europe,Grey,Diesel,Manual,4.1,126131,3656,Low
5 Series,2020,Middle East,Red,Petrol,Automatic,4.2,132422,7443,High
i3,2016,Europe,Silver,Electric,Automatic,4.1,46911,3805,Low
7 Series,2011,North America,Red,Diesel,Automatic,3.3,34278,1328,Low
X1,2017,Europe,White,Diesel,Automatic,3.9,1210,791,Low
X6,2014,North America,Black,Diesel,Manual,2.6,89074,8122,High
i8,2015,Middle East,Grey,Electric,Manual,4.3,142443,6804,Low
X3,2021,Africa,Black,Diesel,Automatic,1.9,8700,6956,Low
i8,2015,Europe,Red,Electric,Manual,3.3,73675,5017,Low
X6,2018,Africa,White,Hybrid,Manual,2.5,189717,7673,High
7 Series,2010,Asia,Red,Electric,Automatic,2,160571,4573,Low
5 Series,2010,Asia,Silver,Diesel,Automatic,4.6,104546,5145,Low
X3,2024,Asia,White,Hybrid,Automatic,4.9,2471,9125,High
X6,2012,Middle East,Black,Petrol,Automatic,4.1,61131,1605,Low
i8,2021,Asia,Grey,Diesel,Manual,2.8,198659,2696,Low
X1,2022,Middle East,Silver,Diesel,Manual,4.6,166378,1120,Low
7 Series,2024,Europe,Grey,Hybrid,Manual,3.4,106611,7365,High
i3,2015,Asia,Silver,Diesel,Automatic,4,46769,177,Low
7 Series,2012,South America,Silver,Diesel,Automatic,4.2,172681,6013,Low
7 Series,2012,North America,Silver,Diesel,Manual,4.7,175428,1874,Low
X1,2021,Europe,Blue,Petrol,Manual,4.7,182248,4827,Low
i3,2020,Middle East,Silver,Hybrid,Manual,1.9,76518,6950,Low
i8,2021,Asia,Black,Hybrid,Automatic,3.6,118446,713,Low
X6,2016,North America,Red,Petrol,Manual,3.3,167296,6037,Low
X3,2023,Asia,Red,Electric,Automatic,4.2,48225,762,Low
5 Series,2010,Asia,Grey,Diesel,Manual,3.8,183243,1869,Low
X3,2022,Middle East,Black,Electric,Automatic,4.4,10051,6579,Low
M5,2023,Africa,White,Hybrid,Manual,3.8,81201,5455,Low
i3,2011,North America,Red,Petrol,Automatic,1.7,184992,8602,High
X1,2020,Africa,Grey,Petrol,Manual,1.9,118529,7502,High
i8,2021,Europe,Silver,Hybrid,Automatic,5,166570,6433,Low
i3,2017,North America,Silver,Diesel,Automatic,4.9,113612,5162,Low
i3,2010,Africa,Black,Petrol,Automatic,4.1,71030,6952,Low
X6,2019,South America,Silver,Petrol,Automatic,2.2,166335,4542,Low
X1,2023,Middle East,Blue,Electric,Manual,3.1,38587,6809,Low
5 Series,2022,South America,Silver,Petrol,Automatic,2.5,86336,5353,Low
i8,2015,Europe,Grey,Hybrid,Automatic,3.9,159262,3504,Low
X5,2019,Asia,Grey,Petrol,Manual,3.6,189949,4795,Low
5 Series,2012,Asia,Silver,Hybrid,Automatic,3.5,154589,9320,High
X3,2021,Europe,Blue,Diesel,Automatic,1.7,131399,7709,High
M3,2020,Asia,Blue,Diesel,Automatic,4.6,185071,9059,High
M3,2012,Europe,White,Diesel,Manual,4.7,194359,8190,High
X6,2018,Africa,Grey,Diesel,Manual,4.4,84538,4230,Low
X5,2023,Middle East,White,Petrol,Manual,4.5,116825,2828,Low
X6,2010,North America,Grey,Diesel,Automatic,2.2,114287,3523,Low
X3,2023,Africa,Black,Petrol,Automatic,3.8,30794,5753,Low
3 Series,2012,Asia,Red,Petrol,Automatic,2.7,187078,851,Low
X1,2021,Asia,Blue,Hybrid,Automatic,3.9,187414,7094,High
M3,2015,Europe,Blue,Hybrid,Manual,2.1,69387,3491,Low
X3,2022,Africa,Red,Electric,Automatic,2.4,157657,5371,Low
i3,2010,Middle East,Silver,Petrol,Manual,2.7,34781,9753,High
5 Series,2024,Middle East,Grey,Petrol,Manual,3.6,120789,9951,High
i8,2018,Asia,Red,Hybrid,Manual,4.2,173547,3695,Low
i8,2021,North America,Blue,Electric,Automatic,3.8,128707,651,Low
X1,2019,Europe,Blue,Electric,Automatic,4.6,157387,6343,Low
X6,2022,South America,White,Electric,Automatic,2.8,134373,1293,Low
M3,2023,Asia,Grey,Diesel,Automatic,1.7,12401,7203,High
3 Series,2014,South America,Red,Hybrid,Automatic,3.2,18274,2656,Low
X3,2018,Asia,Black,Petrol,Automatic,2.9,103104,3275,Low
M3,2023,Middle East,Grey,Hybrid,Manual,2.1,61320,6272,Low
3 Series,2011,Asia,Grey,Petrol,Automatic,4,7499,7170,High
X3,2016,South America,Red,Hybrid,Automatic,3.3,135445,5228,Low
M5,2014,Asia,Black,Hybrid,Manual,5,79730,5404,Low
M3,2019,Africa,White,Diesel,Manual,3.8,186730,4684,Low
X5,2022,Asia,Black,Hybrid,Manual,1.8,143319,4496,Low
i3,2015,Europe,Blue,Petrol,Automatic,4.2,197154,8579,High
5 Series,2019,Europe,Blue,Petrol,Automatic,4.8,73477,7624,High
7 Series,2014,Europe,Black,Petrol,Manual,3.8,16671,7725,High
3 Series,2013,Europe,White,Petrol,Manual,1.6,13308,2087,Low
3 Series,2017,Europe,Grey,Electric,Automatic,5,45976,2879,Low
i8,2021,South America,Grey,Diesel,Automatic,4.3,99203,6728,Low
i3,2024,South America,White,Electric,Automatic,4.5,136089,9189,High
X3,2015,Africa,Silver,Hybrid,Automatic,1.9,150049,8189,High
5 Series,2010,Middle East,White,Petrol,Automatic,3,76277,5421,Low
M3,2012,North America,Silver,Hybrid,Automatic,2,126672,3023,Low
M3,2020,North America,White,Electric,Automatic,2.7,17611,5391,Low
X6,2011,Asia,White,Electric,Automatic,2,42970,1232,Low
X1,2013,Europe,Blue,Petrol,Automatic,2.9,187819,7519,High
X1,2021,Asia,Blue,Electric,Automatic,2.2,168119,9747,High
i8,2013,North America,Silver,Diesel,Automatic,2.8,66954,916,Low
5 Series,2024,North America,White,Electric,Automatic,3.9,37558,625,Low
X1,2013,South America,Red,Petrol,Manual,4.8,99054,7565,High
i3,2015,Middle East,Black,Diesel,Automatic,2.4,89541,2215,Low
M3,2022,Europe,Blue,Electric,Manual,2.7,100476,2659,Low
i8,2021,Europe,Blue,Hybrid,Manual,2.7,186292,3015,Low
M3,2024,Asia,Silver,Hybrid,Automatic,1.7,198846,7888,High
X1,2011,South America,Blue,Electric,Manual,3.7,182910,5393,Low
X3,2021,South America,Red,Diesel,Manual,3.7,85938,8600,High
i8,2015,North America,Red,Petrol,Automatic,3.3,142041,1196,Low
7 Series,2017,South America,White,Diesel,Automatic,4.2,165177,8442,High
5 Series,2023,Africa,Red,Hybrid,Automatic,2,49074,6669,Low
7 Series,2015,North America,Grey,Diesel,Automatic,2.4,191020,9281,High
X6,2016,North America,White,Hybrid,Manual,4.4,82729,5007,Low
X5,2023,Europe,Red,Electric,Automatic,2.8,137044,501,Low
X1,2020,North America,White,Diesel,Manual,1.9,73311,4180,Low
i8,2010,North America,Grey,Petrol,Automatic,3.1,12550,4596,Low
i8,2016,North America,Blue,Hybrid,Manual,2.5,145112,1206,Low
5 Series,2023,Europe,White,Diesel,Automatic,2.3,176789,5046,Low
i3,2013,Europe,Grey,Electric,Automatic,1.7,129650,4699,Low
i8,2011,North America,Silver,Hybrid,Manual,3.9,47309,1198,Low
X3,2010,Middle East,Black,Diesel,Manual,3.3,155115,6776,Low
i8,2012,South America,Blue,Diesel,Manual,1.6,45787,7257,High
X6,2011,South America,Blue,Petrol,Automatic,3,25499,1912,Low
3 Series,2013,Europe,Grey,Electric,Manual,4.3,128661,1406,Low
i3,2021,Africa,Silver,Hybrid,Automatic,4.3,195568,4550,Low
M5,2014,South America,Blue,Petrol,Automatic,3.3,120680,2838,Low
M3,2021,South America,Silver,Electric,Automatic,2.9,182275,5329,Low
X3,2022,Middle East,Grey,Diesel,Automatic,2.4,85150,8120,High
3 Series,2022,Asia,Black,Electric,Manual,4.8,22368,171,Low
X6,2018,South America,Blue,Diesel,Automatic,2.2,179896,8002,High
7 Series,2015,Africa,Grey,Electric,Manual,3.7,81741,8109,High
M3,2019,Middle East,Silver,Electric,Automatic,4.3,38253,4391,Low
M3,2021,South America,Blue,Hybrid,Automatic,3.5,148162,7103,High
3 Series,2013,Europe,Blue,Petrol,Automatic,4.3,92204,5283,Low
M3,2014,Asia,Silver,Hybrid,Automatic,4.5,159868,8353,High
3 Series,2010,Asia,Blue,Hybrid,Automatic,3.5,68478,3705,Low
X1,2016,Africa,Red,Petrol,Automatic,3.7,70187,3433,Low
X6,2018,Africa,Grey,Hybrid,Automatic,5,138671,479,Low
7 Series,2017,South America,Red,Petrol,Automatic,2.9,68596,9557,High
5 Series,2021,Middle East,White,Diesel,Automatic,3.4,86113,177,Low
M3,2010,South America,White,Petrol,Automatic,3.5,55524,3274,Low
M5,2012,Africa,White,Electric,Manual,3.7,168552,5406,Low
7 Series,2020,Africa,White,Hybrid,Automatic,4.2,122391,1051,Low
M3,2021,Africa,Grey,Petrol,Manual,4,105633,3878,Low
5 Series,2019,Africa,White,Hybrid,Manual,3.2,147568,4814,Low
X5,2020,Asia,Silver,Diesel,Automatic,3.1,183101,5128,Low
3 Series,2017,Africa,Red,Hybrid,Manual,3.5,168601,3113,Low
M3,2012,North America,Silver,Hybrid,Manual,1.5,16005,3953,Low
3 Series,2019,South America,Silver,Hybrid,Manual,2.8,193021,1703,Low
M5,2012,Africa,Black,Diesel,Manual,4.5,1251,9764,High
5 Series,2013,North America,Silver,Electric,Manual,2.8,13254,9029,High
5 Series,2023,Asia,Grey,Electric,Automatic,2.6,50105,6239,Low
X6,2014,Europe,Silver,Electric,Automatic,2.7,66902,8399,High
3 Series,2022,Middle East,Silver,Electric,Automatic,3.2,88185,5423,Low
i8,2015,Europe,Blue,Electric,Automatic,2.2,152111,4941,Low
7 Series,2015,North America,Black,Electric,Manual,3.5,58897,8612,High
i3,2014,Middle East,Blue,Diesel,Manual,4.9,192863,7192,High
7 Series,2016,Asia,Blue,Hybrid,Automatic,2.3,44162,3738,Low
X1,2018,Africa,Blue,Hybrid,Automatic,4.4,195583,4269,Low
X1,2024,North America,Blue,Petrol,Automatic,2.8,146373,8173,High
X6,2020,Middle East,Silver,Hybrid,Manual,3.9,142096,6027,Low
i8,2022,North America,Silver,Electric,Manual,3.2,69895,6658,Low
M5,2012,Europe,Red,Hybrid,Automatic,4.6,196942,7446,High
M3,2013,Middle East,Blue,Electric,Automatic,4.3,21551,6284,Low
i3,2014,Africa,Black,Electric,Manual,3.4,6574,7843,High
7 Series,2016,Africa,White,Hybrid,Manual,2.8,162174,1702,Low
7 Series,2013,South America,Blue,Petrol,Manual,1.8,102577,878,Low
7 Series,2013,Middle East,Grey,Petrol,Manual,2.4,26266,3524,Low
7 Series,2018,South America,Black,Hybrid,Manual,4.4,93263,5583,Low
X6,2010,Middle East,Silver,Petrol,Manual,4.7,105827,8869,High
X6,2024,Middle East,Red,Electric,Manual,3.6,101077,4623,Low
5 Series,2021,Europe,Grey,Petrol,Manual,3.9,131823,2816,Low
3 Series,2012,Europe,Grey,Electric,Automatic,4.2,64628,1307,Low
i8,2016,South America,Silver,Electric,Manual,1.7,71040,792,Low
5 Series,2021,Asia,Black,Diesel,Automatic,3.5,133836,9087,High
X6,2021,South America,Grey,Diesel,Automatic,2.3,41762,9417,High
7 Series,2012,North America,Grey,Petrol,Manual,2.3,171676,4721,Low
X3,2012,Europe,Grey,Electric,Automatic,2.7,47685,3523,Low
X5,2022,Asia,White,Hybrid,Automatic,4.2,50397,1465,Low
X3,2023,Middle East,Red,Petrol,Manual,1.6,175194,7959,High
M5,2024,Africa,Blue,Diesel,Automatic,3.8,63898,7449,High
5 Series,2020,Africa,Blue,Petrol,Manual,4,13743,4604,Low
X1,2022,South America,Black,Petrol,Automatic,3.4,146580,449,Low
M5,2020,Africa,White,Diesel,Manual,2.5,121340,5925,Low
5 Series,2014,Africa,Black,Electric,Automatic,2.5,38308,324,Low
7 Series,2020,Africa,Black,Hybrid,Manual,4,119176,1173,Low
5 Series,2018,Europe,Silver,Hybrid,Manual,1.9,167196,5209,Low
M3,2019,Middle East,Blue,Diesel,Automatic,4,39735,6503,Low
X3,2020,South America,Silver,Electric,Manual,3.4,132899,3008,Low
3 Series,2015,North America,White,Petrol,Automatic,2.1,125900,112,Low
X5,2011,Africa,Grey,Hybrid,Manual,2.4,46082,5634,Low
i8,2013,South America,Black,Diesel,Manual,2.7,150761,425,Low
X3,2016,Africa,White,Petrol,Manual,3.9,89156,8478,High
i3,2015,Middle East,Silver,Diesel,Manual,2.4,91715,7167,High
M5,2020,Europe,Silver,Electric,Automatic,3.9,96877,5942,Low
5 Series,2020,Europe,White,Petrol,Manual,3.6,76245,6204,Low
7 Series,2024,Middle East,Blue,Petrol,Automatic,4.5,175508,1078,Low
i8,2013,Asia,Grey,Hybrid,Manual,1.5,50186,5518,Low
M5,2011,Europe,Grey,Electric,Automatic,4.5,197942,4211,Low
5 Series,2019,Africa,White,Hybrid,Automatic,2,166331,2876,Low
3 Series,2013,Africa,Black,Diesel,Manual,3.8,171201,5947,Low
X3,2021,South America,White,Hybrid,Automatic,3,150550,6769,Low
X3,2014,Asia,Silver,Petrol,Manual,4.7,194766,8841,High
X1,2013,Europe,Red,Hybrid,Automatic,4.9,54733,9713,High
i8,2018,Middle East,White,Electric,Automatic,1.9,159252,6837,Low
X6,2015,Middle East,Grey,Petrol,Automatic,4.8,101290,908,Low
X6,2011,South America,Black,Hybrid,Manual,1.8,137036,8851,High
i3,2015,Middle East,Black,Hybrid,Automatic,3.3,116842,5531,Low
X3,2015,Asia,Grey,Electric,Manual,3.1,188207,7474,High
X6,2020,Europe,Grey,Petrol,Manual,3.3,43847,2063,Low
5 Series,2019,Africa,Black,Petrol,Automatic,2.4,145543,6387,Low
M5,2024,Africa,Grey,Petrol,Automatic,3.7,108137,1664,Low
X5,2015,Asia,Red,Electric,Automatic,4,11712,6107,Low
i3,2017,Africa,Red,Hybrid,Manual,4.7,91429,6688,Low
X3,2023,Asia,Black,Hybrid,Automatic,4.2,114792,1781,Low
7 Series,2010,South America,Blue,Hybrid,Automatic,3.4,169022,3588,Low
X6,2018,Europe,Grey,Petrol,Manual,2,137220,3040,Low
X1,2021,North America,Blue,Hybrid,Manual,4.1,73525,4686,Low
X6,2019,North America,Blue,Diesel,Manual,4.2,98353,8953,High
X1,2022,South America,White,Hybrid,Manual,3.6,102274,5076,Low
X5,2014,South America,Red,Diesel,Manual,5,47557,8961,High
i3,2016,North America,Grey,Electric,Manual,3.9,78812,899,Low
M3,2016,North America,Grey,Diesel,Manual,4.4,16631,1728,Low
i8,2024,North America,Silver,Electric,Automatic,1.9,82991,6308,Low
i3,2010,Middle East,Silver,Petrol,Manual,1.6,94551,9740,High
X5,2018,Africa,Blue,Petrol,Automatic,4.2,151908,209,Low
X3,2015,Asia,White,Electric,Automatic,2.5,35429,9172,High
X6,2023,North America,Silver,Hybrid,Automatic,4.9,21979,453,Low
i8,2013,Europe,White,Diesel,Manual,4.8,65437,2276,Low
5 Series,2015,Middle East,Black,Diesel,Manual,4.1,123539,176,Low
5 Series,2020,Europe,Blue,Petrol,Manual,1.9,165058,7250,High
7 Series,2022,Asia,Black,Petrol,Manual,2.5,14140,5902,Low
X6,2010,Asia,Silver,Diesel,Automatic,2.9,52825,5828,Low
X6,2020,North America,Blue,Electric,Manual,3.1,104254,9272,High
X5,2015,Asia,Grey,Electric,Automatic,4.3,90053,3094,Low
M3,2015,Africa,Blue,Diesel,Automatic,3.9,148592,509,Low
X1,2015,Europe,Blue,Hybrid,Manual,3.7,164194,2304,Low
X6,2018,South America,Black,Electric,Manual,4.2,106254,405,Low
X5,2012,Middle East,Blue,Hybrid,Manual,4.5,135889,369,Low
M5,2020,Asia,White,Electric,Manual,4.5,161465,8351,High
i3,2013,North America,Grey,Electric,Automatic,3.9,18616,7309,High
7 Series,2014,Middle East,Red,Hybrid,Automatic,2.8,128282,6109,Low
M3,2020,Europe,Blue,Diesel,Automatic,2.9,85444,3795,Low
X5,2024,South America,White,Diesel,Manual,4.2,186128,1655,Low
M3,2016,Middle East,Black,Petrol,Automatic,4.5,29803,8643,High
M3,2019,Africa,White,Diesel,Manual,4.4,86156,8086,High
7 Series,2018,North America,Red,Electric,Manual,3.3,138837,9600,High
X1,2015,Africa,Silver,Hybrid,Automatic,2.4,124626,3898,Low
i3,2014,Asia,Black,Electric,Automatic,4.1,102724,3865,Low
X1,2016,South America,Silver,Hybrid,Automatic,4.1,96176,4599,Low
5 Series,2010,Africa,Silver,Diesel,Automatic,4.1,194542,191,Low
3 Series,2014,Middle East,Silver,Hybrid,Manual,2,81803,5955,Low
X1,2016,Asia,Silver,Hybrid,Manual,3.9,29396,9474,High
X5,2020,Asia,White,Electric,Manual,3.5,186323,8945,High
7 Series,2013,Europe,Grey,Hybrid,Automatic,1.6,193102,3787,Low
X3,2013,South America,Blue,Electric,Manual,4.9,145674,4141,Low
X3,2010,Europe,Blue,Diesel,Manual,3.8,3045,2453,Low
M3,2012,Africa,White,Petrol,Automatic,4.3,71143,1339,Low
3 Series,2015,Middle East,Black,Electric,Automatic,2.2,103203,503,Low
5 Series,2010,Europe,White,Petrol,Manual,2.8,181642,6129,Low
X6,2020,South America,Silver,Electric,Manual,4.5,114840,8981,High
M5,2013,Middle East,Grey,Petrol,Manual,4.8,16551,2145,Low
X6,2010,Europe,White,Electric,Automatic,2.3,179187,6212,Low
X6,2017,Middle East,Red,Diesel,Automatic,2.1,174803,6379,Low
X1,2019,Africa,Silver,Petrol,Automatic,2.9,122492,8313,High
X5,2021,North America,Black,Hybrid,Automatic,3.8,139643,719,Low
M5,2012,Africa,White,Petrol,Automatic,2,34777,609,Low
5 Series,2014,Asia,Blue,Hybrid,Automatic,2.7,2773,7794,High
M3,2012,South America,Black,Diesel,Automatic,3.8,66526,9806,High
5 Series,2012,South America,Red,Hybrid,Automatic,4,76463,3835,Low
X3,2015,Africa,Blue,Hybrid,Manual,4.1,32995,6241,Low
X3,2022,Middle East,Grey,Diesel,Automatic,3.6,4351,2014,Low
X5,2010,South America,Grey,Petrol,Automatic,3.9,129157,7024,High
X3,2023,Asia,Black,Electric,Automatic,1.8,140670,9763,High
M5,2022,Asia,Red,Petrol,Automatic,4.7,14888,5260,Low
M5,2018,North America,Black,Hybrid,Automatic,4.1,100423,1938,Low
X6,2013,Africa,Silver,Diesel,Manual,4.8,7926,2917,Low
i3,2018,Asia,Grey,Petrol,Manual,1.7,58105,9690,High
5 Series,2014,North America,Blue,Petrol,Automatic,4.7,169017,4553,Low
X3,2014,Europe,Blue,Hybrid,Manual,1.8,118206,6690,Low
X5,2018,Asia,White,Hybrid,Automatic,4.6,177770,2566,Low
i3,2022,Europe,White,Diesel,Manual,1.6,169861,5073,Low
5 Series,2019,North America,Grey,Hybrid,Automatic,2,176123,7722,High
7 Series,2013,Europe,Blue,Hybrid,Automatic,4.9,12693,2016,Low
M5,2022,Africa,Red,Hybrid,Manual,5,23936,9015,High
X1,2023,Africa,Blue,Hybrid,Manual,4,105806,2020,Low
i8,2017,Middle East,Grey,Diesel,Manual,3,66100,6639,Low
7 Series,2010,South America,Red,Electric,Automatic,4.2,118156,2009,Low
X6,2016,North America,Blue,Diesel,Automatic,3.1,165732,1061,Low
7 Series,2021,Asia,Blue,Petrol,Automatic,3.9,167845,6543,Low
7 Series,2017,South America,Black,Hybrid,Manual,2.3,92411,9669,High
5 Series,2019,Asia,Silver,Diesel,Automatic,2.2,25452,996,Low
i3,2019,Asia,Black,Electric,Automatic,4.5,3060,3952,Low
i3,2020,Middle East,Black,Hybrid,Automatic,2.4,53661,6113,Low
X5,2021,Europe,Black,Diesel,Manual,3.9,175214,2287,Low
i8,2010,Europe,Grey,Diesel,Manual,3.6,173993,6550,Low
X3,2024,Europe,Black,Electric,Automatic,2.8,175560,1171,Low
M5,2023,Middle East,Red,Diesel,Automatic,2.1,110683,6788,Low
M3,2023,Asia,Silver,Hybrid,Automatic,3.5,117643,8929,High
M5,2010,Middle East,Blue,Electric,Manual,3.7,44014,1230,Low
i8,2013,North America,White,Hybrid,Manual,4.7,147394,4702,Low
X1,2012,Europe,Red,Diesel,Manual,3.4,172872,9534,High
X1,2023,Europe,Silver,Petrol,Manual,4.5,15133,8401,High
i3,2016,Asia,Black,Diesel,Manual,2.4,145900,456,Low
M5,2023,Middle East,Red,Diesel,Automatic,3.7,175316,6261,Low
i3,2024,Middle East,Blue,Diesel,Manual,1.6,17798,6920,Low
7 Series,2014,Europe,White,Electric,Automatic,3.2,159664,5183,Low
X3,2013,North America,Blue,Diesel,Manual,4.8,54087,9267,High
X6,2022,South America,Blue,Diesel,Automatic,4.2,198341,1666,Low
i8,2023,South America,Blue,Diesel,Manual,2.8,77389,9189,High
M3,2011,Asia,Red,Electric,Automatic,4,161356,3443,Low
M3,2024,Asia,Red,Electric,Automatic,4.2,98016,6127,Low
7 Series,2020,North America,White,Diesel,Automatic,3.4,120304,2555,Low
M3,2015,Europe,White,Hybrid,Automatic,4.7,45987,4265,Low
X5,2017,Asia,Black,Hybrid,Automatic,2.9,108122,7704,High
i3,2020,Asia,Black,Electric,Manual,2.3,18285,4559,Low
3 Series,2022,Africa,White,Hybrid,Automatic,2.6,41113,9543,High
i8,2018,North America,Black,Electric,Automatic,3.3,88942,7287,High
X1,2017,Middle East,Silver,Electric,Manual,3.2,92795,3785,Low
X5,2023,North America,Silver,Electric,Automatic,1.8,179315,5603,Low
7 Series,2019,Middle East,Black,Hybrid,Automatic,4.9,126608,391,Low
5 Series,2015,Europe,Silver,Electric,Automatic,4.6,113622,4620,Low
3 Series,2019,Asia,White,Hybrid,Automatic,4.4,147927,3768,Low
M5,2018,North America,Blue,Petrol,Manual,4.4,51485,4248,Low
X6,2019,North America,Black,Petrol,Manual,2.3,144014,6630,Low
i8,2015,Europe,Red,Hybrid,Automatic,1.7,121550,7885,High
7 Series,2014,North America,Silver,Electric,Automatic,4.1,36602,3018,Low
i8,2023,North America,Black,Electric,Automatic,2.1,82255,5437,Low
3 Series,2022,Europe,Grey,Hybrid,Manual,2,98934,6522,Low
X5,2012,Middle East,Blue,Diesel,Automatic,3.6,23258,8511,High
X5,2018,North America,Red,Hybrid,Automatic,3.9,170962,7449,High
i3,2015,North America,Black,Hybrid,Automatic,2.6,167264,4219,Low
X6,2021,Africa,Silver,Electric,Automatic,2.6,189863,1199,Low
M5,2022,Middle East,White,Petrol,Manual,2.2,75903,1627,Low
M3,2017,Africa,Red,Electric,Manual,4.7,193077,3990,Low
X3,2010,Africa,Red,Diesel,Manual,5,105411,7439,High
X1,2010,Africa,Red,Electric,Manual,2.2,153319,3746,Low
i3,2012,South America,Black,Diesel,Manual,3.4,144435,6614,Low
X6,2022,Africa,Grey,Petrol,Automatic,4.8,125375,4976,Low
X3,2016,Middle East,Silver,Hybrid,Automatic,4.7,89931,9492,High
M5,2022,North America,White,Electric,Manual,2.5,33803,3401,Low
X3,2021,Africa,Silver,Hybrid,Manual,4.4,103048,7009,High
M5,2014,North America,Red,Hybrid,Automatic,2.4,86812,4319,Low
M3,2019,North America,Grey,Electric,Manual,3,70370,7101,High
X1,2019,Asia,Black,Hybrid,Manual,4.1,154359,4392,Low
M3,2021,Middle East,White,Petrol,Manual,3.2,83500,7822,High
X1,2016,Asia,Grey,Electric,Manual,2,142910,4557,Low
